City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pangani,-5.4333,38.9667,73.65,82,42,7.76,TZ,1660502828
Nouakchott,18.0858,-15.9785,85.93,78,4,13.22,MR,1660502828
Nouadhibou,20.931,-17.0347,80.58,65,6,13.8,MR,1660502829
Basoko,1.2391,23.616,72.03,94,100,0.92,CD,1660502829
Badvel,14.75,79.05,82.81,65,100,13.87,IN,1660502829
Khani,41.9563,42.9566,69.37,81,1,3.2,GE,1660502830
Nakapiripirit,1.9167,34.7833,68.29,79,83,1.25,UG,1660502830
Güstrow,53.7972,12.1734,75.07,56,75,10.36,DE,1660502831
Santa Marta,11.2408,-74.199,86.05,74,40,5.75,CO,1660502649
Mīāndoāb,36.9694,46.1027,82.78,18,0,5.39,IR,1660502831
Vao,-22.6667,167.4833,72.54,82,99,23.73,NC,1660502831
East London,-33.0153,27.9116,56.34,50,0,23.02,ZA,1660502832
Qinzhou,21.95,108.6167,80.94,87,88,4.79,CN,1660502832
Bundibugyo,0.7414,30.0417,68.36,95,93,1.95,UG,1660502832
Puerto Ayora,-0.7393,-90.3518,80.56,90,97,8.99,EC,1660502833
Vyshneve,50.3891,30.3705,74.16,80,100,11.63,UA,1660502833
Yangi Marg`ilon,40.4272,71.7189,79.52,41,0,6.91,UZ,1660502834
Teknāf,20.8624,92.3058,77.59,91,100,8.81,BD,1660502834
Lata,40.1629,-8.3327,67.42,68,8,8.59,PT,1660502834
Masuguru,-11.3667,38.4167,77.77,54,100,9.84,TZ,1660502835
Nikolayevsk-on-Amur,53.1406,140.73,54.9,95,37,1.54,RU,1660502835
Umm Kaddadah,13.6017,26.6876,79.16,63,5,14.7,SD,1660502835
Salalah,17.0151,54.0924,75.29,100,100,8.05,OM,1660502836
Nizhniy Kuranakh,58.8353,125.4869,52.7,98,100,4.34,RU,1660502836
Tilichiki,60.4667,166.1,53.78,97,100,5.66,RU,1660502836
Kumul,42.8,93.45,80.46,22,0,10.51,CN,1660502837
Geraldton,-28.7667,114.6,48.61,93,0,14.97,AU,1660502837
Ladário,-19.0047,-57.6017,97.09,26,0,11.5,BR,1660502837
Cedar City,37.6775,-113.0619,79.39,57,0,3.44,US,1660502772
Kalabo,-14.97,22.6814,68.63,19,2,2.04,ZM,1660502838
Sibu,2.3,111.8167,73.71,94,40,0.0,MY,1660502838
Bastrop,32.7562,-91.8724,92.7,41,6,6.33,US,1660502692
Bambous Virieux,-20.3428,57.7575,70.05,73,75,14.97,MU,1660502839
Hare Bay,48.8499,-54.0148,73.0,75,89,10.42,CA,1660502839
Dhārchula,29.85,80.5333,71.8,97,100,1.12,IN,1660502839
Hapao,16.8797,121.016,67.98,98,82,0.45,PH,1660502840
Sola,-13.8833,167.55,74.07,100,52,3.44,VU,1660502840
Williams Lake,52.1415,-122.1445,77.05,40,75,6.91,CA,1660502541
Caracolí,6.4119,-74.7606,87.01,49,39,4.81,CO,1660502841
Weligama,5.9667,80.4167,78.31,89,42,10.09,LK,1660502841
Banda Aceh,5.5577,95.3222,80.2,78,100,7.09,ID,1660502841
Alice Springs,-23.7,133.8833,44.15,42,0,6.91,AU,1660502758
Pagudpud,18.5616,120.7868,80.26,83,100,5.68,PH,1660502842
Koslan,63.4564,48.8989,50.65,68,50,4.94,RU,1660502842
Riviere-au-Renard,48.9957,-64.3971,68.29,94,100,7.67,CA,1660502843
Natal,-5.795,-35.2094,84.42,61,40,21.85,BR,1660502635
Coyhaique,-45.5752,-72.0662,40.95,56,100,3.44,CL,1660502843
Kutum,14.2,24.6667,75.18,70,14,8.46,SD,1660502843
Nemuro,43.3236,145.575,63.79,92,84,3.49,JP,1660502844
Pevek,69.7008,170.3133,32.81,85,100,11.48,RU,1660502844
Nānākuli,21.3906,-158.1547,82.62,59,0,6.91,US,1660502844
Tautira,-17.7333,-149.15,77.43,78,19,14.58,PF,1660502845
Bintulu,3.1667,113.0333,75.61,94,20,0.0,MY,1660502845
Belyy Yar,53.6039,91.3903,62.49,67,0,11.18,RU,1660502846
Morehead,37.2711,-87.1764,85.86,55,40,10.36,US,1660502846
Texarkana,33.4251,-94.0477,93.83,54,0,4.61,US,1660502341
Kala Nera,39.3063,23.12,75.18,66,58,6.53,GR,1660502846
Brownsville,25.9018,-97.4975,87.78,80,75,18.41,US,1660502818
Kabalo,-6.05,26.9167,84.58,39,96,3.24,CD,1660502847
Launceston,-41.45,147.1667,51.33,87,100,14.97,AU,1660502728
Sungai Penuh,-2.0833,101.3833,64.9,97,90,2.37,ID,1660502847
Cuamba,-14.8031,36.5372,72.23,36,0,4.54,MZ,1660502848
Isiro,2.7739,27.616,65.68,99,100,2.46,CD,1660502848
Dilla,6.41,38.31,63.82,86,100,3.67,ET,1660502848
Hong Kong,22.2855,114.1577,85.32,86,22,4.0,HK,1660502439
Trelew,-43.249,-65.3051,57.47,28,20,20.71,AR,1660502849
Korla,41.7597,86.1469,82.0,30,0,4.72,CN,1660502849
Vågåmo,61.8751,9.0967,68.5,59,100,9.04,NO,1660502849
Mackay,-21.15,149.2,51.67,49,0,6.78,AU,1660502850
Yelizovo,53.1873,158.3805,57.34,100,100,4.47,RU,1660502850
Amarante do Maranhão,-5.5667,-46.7422,96.37,18,8,6.15,BR,1660502851
Saint-Pierre,-21.3393,55.4781,68.92,77,20,4.61,RE,1660502851
Épinal,48.1833,6.45,71.15,95,83,6.6,FR,1660502694
Aquidauana,-20.4711,-55.7872,95.56,17,5,10.89,BR,1660502851
Ust'-Ilimsk,58.0006,102.6619,53.64,83,99,5.5,RU,1660502852
Yatou,37.15,122.3833,80.31,93,100,13.22,CN,1660502852
Gold Coast,-28.0,153.4333,45.16,93,0,9.22,AU,1660502852
Manggar,-2.8833,108.2667,79.59,82,78,3.76,ID,1660502853
Camacha,33.0833,-16.3333,71.02,73,20,11.5,PT,1660502853
Kohtla-Järve,59.3986,27.2731,66.09,75,33,6.33,EE,1660502853
Mae Sai,20.4335,99.8762,72.12,97,91,2.13,TH,1660502854
Panalingaan,8.7842,117.4231,75.76,87,100,2.19,PH,1660502854
Aswān,24.0934,32.907,97.9,14,0,6.91,EG,1660502854
Passy,45.9203,6.6877,69.82,83,37,1.63,FR,1660502855
Maragogi,-9.0122,-35.2225,77.31,71,85,11.43,BR,1660502855
Coromandel,-18.4733,-47.2003,79.75,26,0,7.16,BR,1660502855
Erciş,39.0287,43.3586,72.48,35,0,2.21,TR,1660502856
Portree,57.4129,-6.1942,58.51,91,100,4.74,GB,1660502856
Sirte,31.2089,16.5887,87.35,42,0,7.0,LY,1660502857
Evensk,61.95,159.2333,54.7,89,12,0.92,RU,1660502857
Znamenskoye,57.1281,73.8282,49.8,96,16,7.72,RU,1660502857
Iqaluit,63.7506,-68.5145,43.7,87,100,10.0,CA,1660502858
Pacific Grove,36.6177,-121.9166,73.2,84,40,6.91,US,1660502858
Impfondo,1.6381,18.0667,75.88,65,96,0.38,CG,1660502859
Abulug,18.4453,121.4533,79.0,90,100,9.78,PH,1660502859
Champerico,14.3,-91.9167,90.14,71,100,7.23,GT,1660502859
Teya,60.3778,92.6267,53.56,99,100,4.09,RU,1660502860
Price,39.5994,-110.8107,82.11,56,100,12.66,US,1660502860
Siniscola,40.5719,9.6922,83.75,77,2,8.05,IT,1660502860
Muros,42.7762,-9.0603,66.83,87,6,2.64,ES,1660502861
Lüderitz,-26.6481,15.1594,55.72,62,8,18.07,NA,1660502861
Poum,-20.2333,164.0167,74.41,84,100,13.18,NC,1660502861
Kumëny,58.1089,49.9161,57.51,81,3,3.67,RU,1660502862
Yate,51.5407,-2.4184,88.99,30,100,4.0,GB,1660502862
Bambanglipuro,-7.95,110.2833,77.05,87,100,2.66,ID,1660502862
Katobu,-4.9408,122.5276,71.46,90,3,3.6,ID,1660502863
Ţahţā,26.7693,31.5021,89.89,24,0,14.32,EG,1660502863
Ratnagiri,16.9833,73.3,78.26,90,100,11.14,IN,1660502863
Nanortalik,60.1432,-45.2371,44.46,97,98,11.05,GL,1660502864
Dhidhdhoo,6.8833,73.1,81.34,78,100,10.96,MV,1660502864
Okhotsk,59.3833,143.3,56.01,95,100,8.23,RU,1660502864
Conceição das Alagoas,-19.9147,-48.3883,85.78,19,0,6.13,BR,1660502865
Jijiga,9.35,42.8,71.01,53,95,19.37,ET,1660502865
Sattahip,12.6664,100.9007,80.98,94,20,3.44,TH,1660502865
Porto Belo,-27.1578,-48.5531,76.78,87,77,8.79,BR,1660502866
Clyde River,70.4692,-68.5914,50.23,71,20,9.22,CA,1660502866
Rumoi,43.9344,141.6428,64.45,86,100,5.08,JP,1660502866
Boa Vista,2.8197,-60.6733,89.58,51,40,9.22,BR,1660502867
Aberdeen,57.1437,-2.0981,69.49,80,82,3.44,GB,1660502867
Udachny,66.4167,112.4,52.45,66,100,6.69,RU,1660502867
Safi,32.2994,-9.2372,72.16,74,98,16.49,MA,1660502868
Yerbogachën,61.2767,108.0108,41.36,91,10,1.81,RU,1660502868
Chengde,40.9725,117.9361,71.49,97,62,2.86,CN,1660502868
Province of Mantua,45.1667,10.7833,85.15,59,92,1.01,IT,1660502869
Vila Praia de Âncora,41.811,-8.8526,68.72,83,0,5.66,PT,1660502869
Toppenish,46.3774,-120.3087,87.01,23,1,3.02,US,1660502869
Arraias,-12.9288,-46.9437,89.53,19,5,5.17,BR,1660502870
Mutatá,7.2441,-76.4356,82.36,87,63,2.82,CO,1660502870
Iquique,-20.2208,-70.1431,62.17,67,77,9.69,CL,1660502870
Bandarbeyla,9.4942,50.8122,76.66,83,82,29.17,SO,1660502871
Isangel,-19.55,169.2667,75.31,88,100,9.22,VU,1660502871
Wilmington,34.2257,-77.9447,89.51,42,0,8.05,US,1660502671
Quatre Cocos,-20.2078,57.7625,69.91,75,90,17.31,MU,1660502872
Morocelí,14.1167,-86.8667,85.03,53,76,4.07,HN,1660502872
Rio Grande,-32.035,-52.0986,75.31,77,0,10.96,BR,1660502872
Rawson,-43.3002,-65.1023,57.49,28,20,20.71,AR,1660502873
Riwaka,-41.0833,173.0,40.01,71,100,2.55,NZ,1660502873
Kaitong,44.8135,123.15,63.95,95,100,6.38,CN,1660502873
Yumen,40.2833,97.2,71.49,28,0,6.08,CN,1660502874
Chesterton,41.6106,-87.0642,73.99,85,100,5.75,US,1660502874
Olonets,60.9847,32.9698,60.49,77,5,2.28,RU,1660502606
Ivrea,45.4672,7.8762,78.71,65,16,5.57,IT,1660502874
La Ronge,55.1001,-105.2842,75.42,56,40,10.36,CA,1660502875
Zapolyarnyy,69.4154,30.8136,49.28,72,100,7.94,RU,1660502875
Maningrida,-12.0667,134.2667,61.16,89,5,9.06,AU,1660502876
Ixtapa,20.7,-105.2,88.23,64,81,1.01,MX,1660502876
Shadrinsk,56.0852,63.6335,59.76,50,100,2.01,RU,1660502876
Burns Lake,54.2331,-125.7533,58.42,48,100,7.14,CA,1660502877
Mosquera,4.7059,-74.2302,66.29,55,75,5.75,CO,1660502699
San Jose,37.3394,-121.895,86.92,46,0,0.0,US,1660502620
Manicoré,-5.8092,-61.3003,75.15,100,0,3.44,BR,1660502877
Kenai,60.5544,-151.2583,55.09,97,100,0.0,US,1660502878
Raudeberg,61.9875,5.1352,65.07,80,100,3.2,NO,1660502878
Wukari,7.85,9.7833,72.55,93,41,10.69,NG,1660502878
Tateyama,34.9833,139.8667,79.11,88,100,17.4,JP,1660502879
Boddam,57.4667,-1.7833,68.43,86,100,7.54,GB,1660502879
Sobolevo,54.4299,31.8996,65.55,86,73,6.62,RU,1660502879
Villachuato,20.1667,-101.5833,78.85,46,79,1.23,MX,1660502880
Opelousas,30.5335,-92.0815,90.84,49,36,5.95,US,1660502581
Hualmay,-11.0964,-77.6139,66.49,71,17,11.5,PE,1660502880
Grand Gaube,-20.0064,57.6608,70.2,72,98,10.0,MU,1660502880
Mount Isa,-20.7333,139.5,37.17,60,42,0.0,AU,1660502881
Puyang,29.4603,119.8861,79.99,74,93,3.58,CN,1660502881
Kamenka,51.3223,42.7678,71.98,43,64,9.08,RU,1660502881
Chiriquí Grande,8.95,-82.1167,84.56,75,71,5.61,PA,1660502882
Bhag,29.0415,67.8239,82.89,69,90,5.41,PK,1660502882
Yishui,35.7847,118.6281,82.44,83,100,10.27,CN,1660502882
Samarai,-10.6167,150.6667,78.94,85,21,7.45,PG,1660502883
Fort Morgan,40.2503,-103.8,88.45,40,0,7.2,US,1660502883
Garoowe,8.4054,48.4845,84.36,40,98,18.68,SO,1660502884
Alghero,40.5589,8.3181,82.49,89,20,12.66,IT,1660502884
Reconquista,-29.15,-59.65,85.03,39,0,10.18,AR,1660502885
Bathsheba,13.2167,-59.5167,86.61,74,40,17.27,BB,1660502885
Oban,56.4127,-5.4706,66.38,92,100,2.42,GB,1660502885
Sabang,5.8933,95.3214,82.85,73,87,10.71,ID,1660502886
Honiara,-9.4333,159.95,76.46,86,13,4.76,SB,1660502886
Jati,24.3539,68.2671,80.74,89,77,18.39,PK,1660502886
Pombia,45.653,8.6336,79.86,48,0,4.61,IT,1660502887
Gamba,-2.65,10.0,70.54,86,99,6.26,GA,1660502887
Juegang,32.3174,121.1855,85.91,83,100,11.77,CN,1660502887
Tarpon Springs,28.1461,-82.7568,84.22,60,32,10.07,US,1660502728
Narón,43.5167,-8.1528,71.91,91,1,9.37,ES,1660502888
Bani Walid,31.7566,13.9942,89.96,23,0,9.89,LY,1660502888
New Bern,35.1085,-77.0441,87.82,39,0,5.75,US,1660502682
Makkah al Mukarramah,21.4267,39.8261,95.31,28,35,2.68,SA,1660502595
Krasnovishersk,60.4078,57.082,45.93,90,6,3.74,RU,1660502889
Norsup,-16.0667,167.3833,78.12,82,100,17.29,VU,1660502889
Gīdam,18.9833,81.4,71.74,98,100,13.96,IN,1660502889
Moussoro,13.6408,16.4901,84.0,70,100,7.7,TD,1660502890
Muisne,0.6,-80.0333,75.76,85,98,13.85,EC,1660502890
Coquimbo,-29.9533,-71.3436,58.19,70,100,5.35,CL,1660502891
Garachiné,8.0647,-78.3628,80.15,83,100,5.7,PA,1660502891
Fairbanks,64.8378,-147.7164,60.93,83,100,3.44,US,1660502891
Sangmélima,2.9333,11.9833,66.51,97,74,3.24,CM,1660502892
Sabha,27.0377,14.4283,89.04,15,0,8.37,LY,1660502892
Cheremshanka,56.1192,60.268,50.36,70,38,3.69,RU,1660502893
Tongchuanshi,35.0806,109.0897,81.73,39,100,4.54,CN,1660502893
Cururupu,-1.8283,-44.8683,86.47,53,13,4.65,BR,1660502893
Loandjili,-4.7561,11.8578,72.3,73,99,5.32,CG,1660502894
Paamiut,61.994,-49.6678,44.29,99,100,8.46,GL,1660502894
Poronaysk,49.2167,143.1167,59.85,97,100,1.95,RU,1660502894
Buala,-8.145,159.5921,79.18,79,100,5.01,SB,1660502895
Cascais,38.6979,-9.4215,75.06,65,20,21.0,PT,1660502612
Sørland,67.667,12.6934,53.46,79,100,10.74,NO,1660502895
Polovinnoye,54.7914,65.9864,53.71,62,5,3.87,RU,1660502895
Thinadhoo,0.5333,72.9333,82.94,73,100,5.88,MV,1660502896
Piaçabuçu,-10.4056,-36.4344,75.02,83,5,11.18,BR,1660502896
Mishelevka,52.8575,103.1719,57.04,97,61,4.43,RU,1660502896
Kyrylivka,46.3759,35.3675,81.52,50,15,4.03,UA,1660502897
Conceição do Araguaia,-8.2578,-49.2647,99.88,18,0,2.75,BR,1660502897
Oktyabr'skiy,54.4815,53.471,56.41,65,3,5.75,RU,1660502898
Hobyo,5.3505,48.5268,76.59,89,100,23.67,SO,1660502898
Puri,19.8,85.85,79.32,80,100,24.52,IN,1660502899
Yabēlo,4.8833,38.0833,63.25,65,100,10.63,ET,1660502899
Yel'nya,54.5786,33.1837,64.98,86,36,6.87,RU,1660502899
Port Hardy,50.6996,-127.4199,60.98,94,100,5.75,CA,1660502900
Marinette,45.1,-87.6307,70.25,83,100,6.91,US,1660502900
Cubará,7.0008,-72.1085,78.78,92,71,2.51,CO,1660502900
Fare,-16.7,-151.0167,78.4,75,5,16.46,PF,1660502901
Prabumulih,-3.45,104.25,72.86,97,63,2.73,ID,1660502901
Neturhāt,23.4833,84.2667,67.17,99,100,1.79,IN,1660502901
Severo-Kuril'sk,50.6789,156.125,55.87,98,100,13.76,RU,1660502902
Tipitapa,12.1973,-86.0971,89.62,58,20,9.22,NI,1660502902
Kichera,55.9375,110.0997,54.55,76,100,1.25,RU,1660502903
Penzance,50.1186,-5.5371,72.28,77,49,9.95,GB,1660502903
Mil'kovo,54.7167,158.6167,55.98,97,100,2.39,RU,1660502903
Half Moon Bay,37.4636,-122.4286,84.81,68,20,3.44,US,1660502718
Shingū,33.7333,135.9833,78.51,91,96,6.08,JP,1660502904
Alaşehir,38.3508,28.5172,76.53,49,0,4.54,TR,1660502904
Richards Bay,-28.783,32.0377,62.44,59,9,6.71,ZA,1660502905
Polson,47.6936,-114.1632,85.21,26,0,1.5,US,1660502905
Jasło,49.7451,21.4725,70.0,89,100,2.28,PL,1660502905
Kabo,7.6994,18.629,70.88,97,100,6.46,CF,1660502906
Likasi,-10.9814,26.7333,67.87,31,4,3.36,CD,1660502906
Aleksandrov Gay,50.147,48.5704,81.32,32,100,12.68,RU,1660502907
Acarí,-15.4311,-74.6158,72.01,52,53,10.58,PE,1660502907
Devrek,41.2192,31.9558,70.61,96,88,3.02,TR,1660502907
Kholodnyy,62.7167,147.95,50.83,96,100,4.36,RU,1660502908
Hwange,-18.3693,26.5019,74.25,19,0,2.26,ZW,1660502908
Lockport,41.5895,-88.0578,75.87,81,100,8.99,US,1660502908
Okha,53.5739,142.9478,53.29,95,100,6.04,RU,1660502908
Cuajinicuilapa,16.4667,-98.4167,89.56,54,100,2.48,MX,1660502909
Eenhana,-17.4667,16.3333,65.25,17,0,4.0,NA,1660502909
Mangla,31.8931,72.3817,91.02,57,73,5.46,PK,1660502909
San Juan Bautista Tuxtla,18.1,-96.1167,86.81,68,100,1.66,MX,1660502787
Ilhabela,-23.7781,-45.3581,71.4,70,13,5.79,BR,1660502910
Chaplygin,53.2432,39.9629,68.0,57,14,8.3,RU,1660502910
Katesh,-4.5167,35.3833,59.31,73,62,8.19,TZ,1660502911
Borogontsy,62.6683,131.1683,56.25,95,100,4.79,RU,1660502911
Lagoa,39.05,-27.9833,75.7,85,6,12.37,PT,1660502911
Faanui,-16.4833,-151.75,78.69,75,13,16.51,PF,1660502912
Gandajika,-6.75,23.95,82.78,23,35,1.79,CD,1660502912
Haapiti,-17.5667,-149.8667,78.53,74,2,16.15,PF,1660502913
Miami Beach,25.7906,-80.1301,89.04,72,75,6.91,US,1660502913
Ketchikan,55.3422,-131.6461,59.47,88,100,12.66,US,1660502913
Jumla,29.2747,82.1838,62.24,97,100,2.17,NP,1660502914
Shatki,55.1887,44.1249,64.53,70,100,6.4,RU,1660502914
Araxá,-19.5933,-46.9406,78.76,31,0,4.61,BR,1660502914
Mishan,45.55,131.8833,60.76,89,100,1.97,CN,1660502915
Dukat,62.55,155.55,51.42,89,46,2.24,RU,1660502915
Saint-François,46.4154,3.9054,65.64,88,75,6.91,FR,1660502915
Qaqortoq,60.7167,-46.0333,47.84,90,68,5.97,GL,1660502916
Doha,25.2867,51.5333,95.31,59,0,4.61,QA,1660502916
Biak,-0.9131,122.8766,74.61,81,94,6.71,ID,1660502916
Prince Rupert,54.3161,-130.3201,60.89,86,75,25.32,CA,1660502917
Puerto Nariño,-3.7703,-70.3831,81.18,78,98,4.25,CO,1660502917
Nyurba,63.2842,118.3319,51.08,98,100,4.07,RU,1660502917
Evansville,37.9748,-87.5558,87.08,63,0,17.27,US,1660502243
Inhambane,-23.865,35.3833,73.38,94,20,17.27,MZ,1660502918
Vrangel',42.7297,133.0839,69.1,76,100,3.89,RU,1660502918
Bam,29.106,58.357,90.59,16,93,8.25,IR,1660502918
Tabatinga,-4.2525,-69.9381,89.69,66,40,5.75,BR,1660502919
Mataram,-8.5833,116.1167,76.01,86,15,1.81,ID,1660502919
Sioux Lookout,50.1001,-91.917,75.27,64,75,5.75,CA,1660502919
Verkhniy Lomov,53.4678,43.5511,65.53,62,98,8.23,RU,1660502920
Palana,59.1167,159.9667,52.84,92,100,4.83,RU,1660502920
Burnie,-41.0667,145.9167,50.94,86,100,10.38,AU,1660502920
Micheweni,-4.9667,39.8333,74.7,78,67,9.69,TZ,1660502921
